container_id,vessel_id,container_size_type,weight_mt,container_status,destination_zone_id,priority,handling_requirement,synthetic
SYN-CONT-000020,00000000-0000-0000-0000-0000000003e8,40HC,30.4,inbound,00000000-0000-0000-0000-00000000012f,critical,standard,True
SYN-CONT-000021,00000000-0000-0000-0000-0000000003e8,40RF,29.8,inbound,00000000-0000-0000-0000-00000000012f,critical,reefer,True
SYN-CONT-000022,00000000-0000-0000-0000-0000000003e8,40HC,15.5,inbound,00000000-0000-0000-0000-000000000131,critical,reefer,True
SYN-CONT-000023,00000000-0000-0000-0000-0000000003e8,20GP,15.4,inbound,00000000-0000-0000-0000-000000000131,critical,standard,True
SYN-CONT-000024,00000000-0000-0000-0000-0000000003e8,40RF,14.5,inbound,00000000-0000-0000-0000-00000000012f,critical,reefer,True
SYN-CONT-000025,00000000-0000-0000-0000-0000000003e8,20GP,10.0,inbound,00000000-0000-0000-0000-00000000012e,critical,reefer,True
SYN-CONT-000026,00000000-0000-0000-0000-0000000003e8,40HC,29.8,inbound,00000000-0000-0000-0000-00000000012f,critical,standard,True
SYN-CONT-000027,00000000-0000-0000-0000-0000000003e8,20GP,18.4,inbound,00000000-0000-0000-0000-00000000012c,critical,hazardous,True
SYN-CONT-000028,00000000-0000-0000-0000-0000000003e8,40GP,16.1,inbound,00000000-0000-0000-0000-00000000012f,critical,hazardous,True
SYN-CONT-000029,00000000-0000-0000-0000-0000000003e8,40RF,25.1,inbound,00000000-0000-0000-0000-00000000012d,critical,reefer,True
SYN-CONT-000030,00000000-0000-0000-0000-0000000003e8,40HC,10.9,inbound,00000000-0000-0000-0000-00000000012e,critical,hazardous,True
SYN-CONT-000031,00000000-0000-0000-0000-0000000003e8,40RF,27.8,inbound,00000000-0000-0000-0000-00000000012f,critical,reefer,True
SYN-CONT-000032,00000000-0000-0000-0000-0000000003e8,20GP,29.9,inbound,00000000-0000-0000-0000-000000000130,critical,standard,True
SYN-CONT-000033,00000000-0000-0000-0000-0000000003e8,40GP,15.0,inbound,00000000-0000-0000-0000-00000000012c,critical,standard,True
SYN-CONT-000034,00000000-0000-0000-0000-0000000003e8,40RF,10.1,inbound,00000000-0000-0000-0000-00000000012c,critical,reefer,True
SYN-CONT-000035,00000000-0000-0000-0000-0000000003e8,40RF,29.3,inbound,00000000-0000-0000-0000-000000000131,critical,reefer,True
SYN-CONT-000036,00000000-0000-0000-0000-0000000003e8,40GP,29.0,inbound,00000000-0000-0000-0000-00000000012e,critical,reefer,True
SYN-CONT-000037,00000000-0000-0000-0000-0000000003e8,40HC,26.8,inbound,00000000-0000-0000-0000-00000000012f,critical,reefer,True
SYN-CONT-000038,00000000-0000-0000-0000-0000000003e8,40GP,20.4,inbound,00000000-0000-0000-0000-00000000012f,critical,reefer,True
SYN-CONT-000039,00000000-0000-0000-0000-0000000003e8,40GP,19.4,inbound,00000000-0000-0000-0000-00000000012d,critical,hazardous,True
SYN-CONT-000040,00000000-0000-0000-0000-0000000003e8,20GP,25.4,inbound,00000000-0000-0000-0000-00000000012f,critical,standard,True
SYN-CONT-000041,00000000-0000-0000-0000-0000000003e8,40HC,14.0,inbound,00000000-0000-0000-0000-00000000012c,critical,hazardous,True
SYN-CONT-000042,00000000-0000-0000-0000-0000000003e8,40HC,26.8,inbound,00000000-0000-0000-0000-000000000130,critical,standard,True
SYN-CONT-000043,00000000-0000-0000-0000-0000000003e8,40RF,27.5,inbound,00000000-0000-0000-0000-00000000012f,critical,reefer,True
SYN-CONT-000044,00000000-0000-0000-0000-0000000003e8,40RF,15.8,inbound,00000000-0000-0000-0000-000000000130,critical,reefer,True
SYN-CONT-000045,00000000-0000-0000-0000-0000000003e8,40RF,18.2,inbound,00000000-0000-0000-0000-00000000012e,critical,reefer,True
SYN-CONT-000046,00000000-0000-0000-0000-0000000003e8,40GP,20.9,inbound,00000000-0000-0000-0000-00000000012d,critical,standard,True
SYN-CONT-000047,00000000-0000-0000-0000-0000000003e8,40RF,9.0,inbound,00000000-0000-0000-0000-000000000131,critical,reefer,True
SYN-CONT-000048,00000000-0000-0000-0000-0000000003e8,40RF,23.9,inbound,00000000-0000-0000-0000-00000000012f,critical,reefer,True
SYN-CONT-000049,00000000-0000-0000-0000-0000000003e8,40RF,30.2,inbound,00000000-0000-0000-0000-000000000131,critical,reefer,True
SYN-CONT-000050,00000000-0000-0000-0000-0000000003e8,40GP,29.7,inbound,00000000-0000-0000-0000-00000000012d,critical,reefer,True
SYN-CONT-000051,00000000-0000-0000-0000-0000000003e8,40HC,27.7,inbound,00000000-0000-0000-0000-00000000012f,critical,standard,True
SYN-CONT-000052,00000000-0000-0000-0000-0000000003e8,20GP,28.5,inbound,00000000-0000-0000-0000-00000000012c,critical,hazardous,True
SYN-CONT-000053,00000000-0000-0000-0000-0000000003e8,40GP,27.6,inbound,00000000-0000-0000-0000-00000000012d,critical,reefer,True
SYN-CONT-000054,00000000-0000-0000-0000-0000000003e8,20GP,25.6,inbound,00000000-0000-0000-0000-00000000012e,critical,reefer,True
SYN-CONT-000055,00000000-0000-0000-0000-0000000003e8,40HC,23.6,inbound,00000000-0000-0000-0000-000000000131,critical,hazardous,True
SYN-CONT-000056,00000000-0000-0000-0000-0000000003e8,20GP,27.2,inbound,00000000-0000-0000-0000-000000000130,critical,standard,True
SYN-CONT-000057,00000000-0000-0000-0000-0000000003e8,40RF,29.5,inbound,00000000-0000-0000-0000-000000000131,critical,reefer,True
SYN-CONT-000058,00000000-0000-0000-0000-0000000003e8,40RF,27.6,inbound,00000000-0000-0000-0000-00000000012c,critical,reefer,True
SYN-CONT-000059,00000000-0000-0000-0000-0000000003e8,20GP,22.2,inbound,00000000-0000-0000-0000-00000000012e,critical,standard,True
SYN-CONT-000060,00000000-0000-0000-0000-0000000003e8,40GP,17.8,inbound,00000000-0000-0000-0000-00000000012c,critical,standard,True
SYN-CONT-000061,00000000-0000-0000-0000-0000000003e8,20GP,11.7,inbound,00000000-0000-0000-0000-00000000012e,critical,reefer,True
SYN-CONT-000062,00000000-0000-0000-0000-0000000003e8,20GP,15.3,inbound,00000000-0000-0000-0000-00000000012c,critical,standard,True
SYN-CONT-000063,00000000-0000-0000-0000-0000000003e8,40HC,16.4,inbound,00000000-0000-0000-0000-00000000012d,critical,standard,True
SYN-CONT-000064,00000000-0000-0000-0000-0000000003e8,40GP,17.3,inbound,00000000-0000-0000-0000-000000000131,critical,hazardous,True
SYN-CONT-000065,00000000-0000-0000-0000-0000000003e8,40GP,11.9,inbound,00000000-0000-0000-0000-000000000130,critical,standard,True
SYN-CONT-000066,00000000-0000-0000-0000-0000000003e8,40RF,21.9,inbound,00000000-0000-0000-0000-00000000012d,critical,reefer,True
SYN-CONT-000067,00000000-0000-0000-0000-0000000003e8,40RF,28.5,inbound,00000000-0000-0000-0000-00000000012d,critical,reefer,True
SYN-CONT-000068,00000000-0000-0000-0000-0000000003e8,40GP,22.4,inbound,00000000-0000-0000-0000-00000000012f,critical,reefer,True
SYN-CONT-000069,00000000-0000-0000-0000-0000000003e8,40HC,28.2,inbound,00000000-0000-0000-0000-00000000012f,critical,standard,True
SYN-CONT-000070,00000000-0000-0000-0000-0000000003e8,40HC,11.6,inbound,00000000-0000-0000-0000-00000000012f,critical,hazardous,True
SYN-CONT-000071,00000000-0000-0000-0000-0000000003e8,40HC,14.7,inbound,00000000-0000-0000-0000-00000000012f,critical,hazardous,True
SYN-CONT-000072,00000000-0000-0000-0000-0000000003e8,40HC,27.0,inbound,00000000-0000-0000-0000-00000000012d,critical,reefer,True
SYN-CONT-000073,00000000-0000-0000-0000-0000000003e8,40RF,27.2,inbound,00000000-0000-0000-0000-00000000012c,critical,reefer,True
SYN-CONT-000074,00000000-0000-0000-0000-0000000003e8,40GP,20.9,inbound,00000000-0000-0000-0000-000000000130,critical,reefer,True
SYN-CONT-000075,00000000-0000-0000-0000-0000000003e8,40HC,8.5,inbound,00000000-0000-0000-0000-000000000131,critical,standard,True
SYN-CONT-000076,00000000-0000-0000-0000-0000000003e8,40RF,14.2,inbound,00000000-0000-0000-0000-000000000130,critical,reefer,True
SYN-CONT-000077,00000000-0000-0000-0000-0000000003e8,20GP,24.8,inbound,00000000-0000-0000-0000-00000000012e,critical,hazardous,True
SYN-CONT-000078,00000000-0000-0000-0000-0000000003e8,40GP,26.0,inbound,00000000-0000-0000-0000-00000000012d,critical,hazardous,True
SYN-CONT-000079,00000000-0000-0000-0000-0000000003e8,40GP,13.6,inbound,00000000-0000-0000-0000-000000000131,critical,hazardous,True
SYN-CONT-000080,00000000-0000-0000-0000-0000000003e8,40GP,28.3,inbound,00000000-0000-0000-0000-000000000131,critical,standard,True
SYN-CONT-000081,00000000-0000-0000-0000-0000000003e8,20GP,25.7,inbound,00000000-0000-0000-0000-00000000012c,critical,standard,True
SYN-CONT-000082,00000000-0000-0000-0000-0000000003e8,40HC,10.0,inbound,00000000-0000-0000-0000-00000000012e,critical,standard,True
SYN-CONT-000083,00000000-0000-0000-0000-0000000003e8,40HC,12.0,inbound,00000000-0000-0000-0000-00000000012d,critical,reefer,True
SYN-CONT-000084,00000000-0000-0000-0000-0000000003e8,40HC,19.3,inbound,00000000-0000-0000-0000-00000000012e,critical,hazardous,True
SYN-CONT-000085,00000000-0000-0000-0000-0000000003e8,40GP,28.6,inbound,00000000-0000-0000-0000-00000000012f,critical,standard,True
SYN-CONT-000086,00000000-0000-0000-0000-0000000003e8,40HC,26.1,inbound,00000000-0000-0000-0000-00000000012f,critical,standard,True
SYN-CONT-000087,00000000-0000-0000-0000-0000000003e8,20GP,25.0,inbound,00000000-0000-0000-0000-00000000012d,critical,standard,True
SYN-CONT-000088,00000000-0000-0000-0000-0000000003e8,40RF,29.8,inbound,00000000-0000-0000-0000-000000000130,critical,reefer,True
SYN-CONT-000089,00000000-0000-0000-0000-0000000003e8,40HC,25.8,inbound,00000000-0000-0000-0000-00000000012c,critical,standard,True
SYN-CONT-000090,00000000-0000-0000-0000-0000000003e8,40HC,10.8,inbound,00000000-0000-0000-0000-00000000012e,critical,hazardous,True
SYN-CONT-000091,00000000-0000-0000-0000-0000000003e8,40HC,16.6,inbound,00000000-0000-0000-0000-000000000131,critical,hazardous,True
SYN-CONT-000092,00000000-0000-0000-0000-0000000003e8,40HC,23.2,inbound,00000000-0000-0000-0000-00000000012f,critical,standard,True
SYN-CONT-000093,00000000-0000-0000-0000-0000000003e9,20GP,27.9,inbound,00000000-0000-0000-0000-000000000130,high,hazardous,True
SYN-CONT-000094,00000000-0000-0000-0000-0000000003e9,40HC,13.0,inbound,00000000-0000-0000-0000-00000000012c,high,hazardous,True
SYN-CONT-000095,00000000-0000-0000-0000-0000000003e9,40RF,28.5,inbound,00000000-0000-0000-0000-00000000012e,high,reefer,True
SYN-CONT-000096,00000000-0000-0000-0000-0000000003e9,40RF,10.6,inbound,00000000-0000-0000-0000-00000000012c,high,reefer,True
SYN-CONT-000097,00000000-0000-0000-0000-0000000003e9,20GP,30.4,inbound,00000000-0000-0000-0000-00000000012c,high,standard,True
SYN-CONT-000098,00000000-0000-0000-0000-0000000003e9,20GP,28.0,inbound,00000000-0000-0000-0000-00000000012d,high,standard,True
SYN-CONT-000099,00000000-0000-0000-0000-0000000003e9,40RF,18.2,inbound,00000000-0000-0000-0000-000000000131,high,reefer,True
SYN-CONT-000100,00000000-0000-0000-0000-0000000003e9,40RF,21.2,inbound,00000000-0000-0000-0000-000000000131,high,reefer,True
SYN-CONT-000101,00000000-0000-0000-0000-0000000003e9,40GP,22.7,inbound,00000000-0000-0000-0000-00000000012f,high,reefer,True
SYN-CONT-000102,00000000-0000-0000-0000-0000000003e9,40RF,29.1,inbound,00000000-0000-0000-0000-00000000012e,high,reefer,True
SYN-CONT-000103,00000000-0000-0000-0000-0000000003e9,20GP,12.9,inbound,00000000-0000-0000-0000-00000000012f,high,standard,True
SYN-CONT-000104,00000000-0000-0000-0000-0000000003e9,40GP,10.2,inbound,00000000-0000-0000-0000-000000000131,high,standard,True
SYN-CONT-000105,00000000-0000-0000-0000-0000000003e9,40HC,28.3,inbound,00000000-0000-0000-0000-000000000131,high,hazardous,True
SYN-CONT-000106,00000000-0000-0000-0000-0000000003e9,40HC,17.0,inbound,00000000-0000-0000-0000-00000000012d,high,standard,True
SYN-CONT-000107,00000000-0000-0000-0000-0000000003e9,20GP,10.1,inbound,00000000-0000-0000-0000-00000000012d,high,reefer,True
SYN-CONT-000108,00000000-0000-0000-0000-0000000003e9,20GP,25.7,inbound,00000000-0000-0000-0000-00000000012d,high,standard,True
SYN-CONT-000109,00000000-0000-0000-0000-0000000003e9,40GP,12.6,inbound,00000000-0000-0000-0000-000000000130,high,hazardous,True
SYN-CONT-000110,00000000-0000-0000-0000-0000000003e9,40GP,12.9,inbound,00000000-0000-0000-0000-00000000012d,high,hazardous,True
SYN-CONT-000111,00000000-0000-0000-0000-0000000003e9,40HC,25.7,inbound,00000000-0000-0000-0000-000000000130,high,standard,True
SYN-CONT-000112,00000000-0000-0000-0000-0000000003e9,20GP,27.3,inbound,00000000-0000-0000-0000-00000000012d,high,standard,True
SYN-CONT-000113,00000000-0000-0000-0000-0000000003e9,40GP,13.6,inbound,00000000-0000-0000-0000-00000000012d,high,hazardous,True
SYN-CONT-000114,00000000-0000-0000-0000-0000000003e9,20GP,11.0,inbound,00000000-0000-0000-0000-00000000012e,high,standard,True
SYN-CONT-000115,00000000-0000-0000-0000-0000000003e9,40GP,15.3,inbound,00000000-0000-0000-0000-00000000012d,high,hazardous,True
SYN-CONT-000116,00000000-0000-0000-0000-0000000003e9,40HC,10.9,inbound,00000000-0000-0000-0000-00000000012f,high,standard,True
SYN-CONT-000117,00000000-0000-0000-0000-0000000003e9,20GP,18.7,inbound,00000000-0000-0000-0000-00000000012e,high,standard,True
SYN-CONT-000118,00000000-0000-0000-0000-0000000003e9,20GP,19.3,inbound,00000000-0000-0000-0000-000000000130,high,reefer,True
SYN-CONT-000119,00000000-0000-0000-0000-0000000003e9,20GP,14.8,inbound,00000000-0000-0000-0000-000000000131,high,hazardous,True
SYN-CONT-000120,00000000-0000-0000-0000-0000000003e9,20GP,30.5,inbound,00000000-0000-0000-0000-00000000012f,high,standard,True
SYN-CONT-000121,00000000-0000-0000-0000-0000000003e9,40RF,23.4,inbound,00000000-0000-0000-0000-00000000012f,high,reefer,True
SYN-CONT-000122,00000000-0000-0000-0000-0000000003e9,40RF,9.7,inbound,00000000-0000-0000-0000-00000000012c,high,reefer,True
SYN-CONT-000123,00000000-0000-0000-0000-0000000003e9,40HC,11.3,inbound,00000000-0000-0000-0000-00000000012d,high,hazardous,True
SYN-CONT-000124,00000000-0000-0000-0000-0000000003e9,40HC,22.2,inbound,00000000-0000-0000-0000-000000000130,high,hazardous,True
SYN-CONT-000125,00000000-0000-0000-0000-0000000003e9,40HC,30.4,inbound,00000000-0000-0000-0000-000000000130,high,reefer,True
SYN-CONT-000126,00000000-0000-0000-0000-0000000003e9,40HC,19.4,inbound,00000000-0000-0000-0000-00000000012f,high,reefer,True
SYN-CONT-000127,00000000-0000-0000-0000-0000000003e9,20GP,27.2,inbound,00000000-0000-0000-0000-000000000131,high,standard,True
SYN-CONT-000128,00000000-0000-0000-0000-0000000003e9,40GP,18.2,inbound,00000000-0000-0000-0000-00000000012d,high,reefer,True
SYN-CONT-000129,00000000-0000-0000-0000-0000000003e9,40RF,15.6,inbound,00000000-0000-0000-0000-00000000012f,high,reefer,True
SYN-CONT-000130,00000000-0000-0000-0000-0000000003e9,40RF,17.4,inbound,00000000-0000-0000-0000-00000000012c,high,reefer,True
SYN-CONT-000131,00000000-0000-0000-0000-0000000003e9,40HC,15.0,inbound,00000000-0000-0000-0000-00000000012e,high,reefer,True
SYN-CONT-000132,00000000-0000-0000-0000-0000000003e9,40HC,23.5,inbound,00000000-0000-0000-0000-00000000012f,high,standard,True
SYN-CONT-000133,00000000-0000-0000-0000-0000000003e9,20GP,26.7,inbound,00000000-0000-0000-0000-00000000012c,high,standard,True
SYN-CONT-000134,00000000-0000-0000-0000-0000000003e9,40RF,10.2,inbound,00000000-0000-0000-0000-000000000131,high,reefer,True
SYN-CONT-000135,00000000-0000-0000-0000-0000000003e9,40HC,20.5,inbound,00000000-0000-0000-0000-000000000130,high,standard,True
SYN-CONT-000136,00000000-0000-0000-0000-0000000003e9,40HC,17.2,inbound,00000000-0000-0000-0000-000000000131,high,standard,True
SYN-CONT-000137,00000000-0000-0000-0000-0000000003e9,40RF,27.5,inbound,00000000-0000-0000-0000-000000000131,high,reefer,True
SYN-CONT-000138,00000000-0000-0000-0000-0000000003e9,20GP,21.5,inbound,00000000-0000-0000-0000-00000000012e,high,standard,True
SYN-CONT-000139,00000000-0000-0000-0000-0000000003e9,20GP,19.4,inbound,00000000-0000-0000-0000-00000000012d,high,hazardous,True
SYN-CONT-000140,00000000-0000-0000-0000-0000000003e9,40RF,13.0,inbound,00000000-0000-0000-0000-00000000012c,high,reefer,True
SYN-CONT-000141,00000000-0000-0000-0000-0000000003e9,40HC,16.3,inbound,00000000-0000-0000-0000-00000000012e,high,hazardous,True
SYN-CONT-000142,00000000-0000-0000-0000-0000000003e9,40GP,27.0,inbound,00000000-0000-0000-0000-000000000130,high,reefer,True
SYN-CONT-000143,00000000-0000-0000-0000-0000000003e9,20GP,28.9,inbound,00000000-0000-0000-0000-000000000131,high,hazardous,True
SYN-CONT-000144,00000000-0000-0000-0000-0000000003e9,40HC,12.1,inbound,00000000-0000-0000-0000-000000000131,high,standard,True
SYN-CONT-000145,00000000-0000-0000-0000-0000000003e9,40HC,15.9,inbound,00000000-0000-0000-0000-00000000012d,high,standard,True
SYN-CONT-000146,00000000-0000-0000-0000-0000000003e9,40GP,22.8,inbound,00000000-0000-0000-0000-00000000012c,high,hazardous,True
SYN-CONT-000147,00000000-0000-0000-0000-0000000003e9,40GP,10.1,inbound,00000000-0000-0000-0000-000000000130,high,standard,True
SYN-CONT-000148,00000000-0000-0000-0000-0000000003e9,40GP,17.4,inbound,00000000-0000-0000-0000-00000000012e,high,reefer,True
SYN-CONT-000149,00000000-0000-0000-0000-0000000003e9,40GP,15.0,inbound,00000000-0000-0000-0000-00000000012e,high,standard,True
SYN-CONT-000150,00000000-0000-0000-0000-0000000003e9,20GP,11.5,inbound,00000000-0000-0000-0000-000000000130,high,standard,True
SYN-CONT-000151,00000000-0000-0000-0000-0000000003e9,20GP,14.1,inbound,00000000-0000-0000-0000-000000000131,high,standard,True
SYN-CONT-000152,00000000-0000-0000-0000-0000000003e9,40RF,18.9,inbound,00000000-0000-0000-0000-00000000012f,high,reefer,True
SYN-CONT-000153,00000000-0000-0000-0000-0000000003e9,40RF,14.1,inbound,00000000-0000-0000-0000-000000000130,high,reefer,True
SYN-CONT-000154,00000000-0000-0000-0000-0000000003e9,20GP,17.7,inbound,00000000-0000-0000-0000-00000000012e,high,standard,True
SYN-CONT-000155,00000000-0000-0000-0000-0000000003e9,40RF,19.9,inbound,00000000-0000-0000-0000-00000000012e,high,reefer,True
SYN-CONT-000156,00000000-0000-0000-0000-0000000003e9,20GP,16.9,inbound,00000000-0000-0000-0000-000000000130,high,standard,True
SYN-CONT-000157,00000000-0000-0000-0000-0000000003e9,20GP,12.6,inbound,00000000-0000-0000-0000-00000000012d,high,standard,True
SYN-CONT-000158,00000000-0000-0000-0000-0000000003e9,40GP,14.5,inbound,00000000-0000-0000-0000-00000000012c,high,standard,True
SYN-CONT-000159,00000000-0000-0000-0000-0000000003e9,20GP,24.8,inbound,00000000-0000-0000-0000-00000000012d,high,reefer,True
SYN-CONT-000160,00000000-0000-0000-0000-0000000003e9,40GP,20.0,inbound,00000000-0000-0000-0000-00000000012d,high,reefer,True
SYN-CONT-000161,00000000-0000-0000-0000-0000000003e9,40HC,16.9,inbound,00000000-0000-0000-0000-000000000131,high,standard,True
SYN-CONT-000162,00000000-0000-0000-0000-0000000003e9,20GP,8.4,inbound,00000000-0000-0000-0000-00000000012c,high,reefer,True
SYN-CONT-000163,00000000-0000-0000-0000-0000000003e9,40HC,17.7,inbound,00000000-0000-0000-0000-00000000012f,high,hazardous,True
SYN-CONT-000164,00000000-0000-0000-0000-0000000003e9,40RF,14.5,inbound,00000000-0000-0000-0000-00000000012f,high,reefer,True
SYN-CONT-000165,00000000-0000-0000-0000-0000000003e9,20GP,11.9,inbound,00000000-0000-0000-0000-000000000130,high,standard,True
SYN-CONT-000166,00000000-0000-0000-0000-0000000003e9,40RF,26.7,inbound,00000000-0000-0000-0000-00000000012e,high,reefer,True
SYN-CONT-000167,00000000-0000-0000-0000-0000000003e9,20GP,27.0,inbound,00000000-0000-0000-0000-00000000012d,high,reefer,True
SYN-CONT-000168,00000000-0000-0000-0000-0000000003e9,40RF,21.2,inbound,00000000-0000-0000-0000-000000000130,high,reefer,True
SYN-CONT-000169,00000000-0000-0000-0000-0000000003e9,20GP,27.6,inbound,00000000-0000-0000-0000-000000000131,high,reefer,True
SYN-CONT-000170,00000000-0000-0000-0000-0000000003e9,40HC,15.5,inbound,00000000-0000-0000-0000-00000000012d,high,standard,True
SYN-CONT-000171,00000000-0000-0000-0000-0000000003e9,20GP,22.2,inbound,00000000-0000-0000-0000-000000000130,high,hazardous,True
SYN-CONT-000172,00000000-0000-0000-0000-0000000003e9,40GP,15.9,inbound,00000000-0000-0000-0000-000000000131,high,standard,True
SYN-CONT-000173,00000000-0000-0000-0000-0000000003e9,40GP,10.3,inbound,00000000-0000-0000-0000-00000000012e,high,standard,True
SYN-CONT-000174,00000000-0000-0000-0000-0000000003e9,40GP,21.6,inbound,00000000-0000-0000-0000-000000000131,high,standard,True
SYN-CONT-000175,00000000-0000-0000-0000-0000000003e9,20GP,29.4,inbound,00000000-0000-0000-0000-000000000131,high,standard,True
SYN-CONT-000176,00000000-0000-0000-0000-0000000003e9,40RF,18.4,inbound,00000000-0000-0000-0000-000000000130,high,reefer,True
SYN-CONT-000177,00000000-0000-0000-0000-0000000003e9,40RF,23.3,inbound,00000000-0000-0000-0000-000000000130,high,reefer,True
SYN-CONT-000178,00000000-0000-0000-0000-0000000003e9,40HC,11.4,inbound,00000000-0000-0000-0000-00000000012c,high,standard,True
SYN-CONT-000179,00000000-0000-0000-0000-0000000003e9,40RF,17.9,inbound,00000000-0000-0000-0000-00000000012e,high,reefer,True
SYN-CONT-000180,00000000-0000-0000-0000-0000000003e9,40HC,9.3,inbound,00000000-0000-0000-0000-000000000130,high,hazardous,True
SYN-CONT-000181,00000000-0000-0000-0000-0000000003e9,20GP,18.4,inbound,00000000-0000-0000-0000-00000000012c,high,standard,True
SYN-CONT-000182,00000000-0000-0000-0000-0000000003e9,20GP,26.7,inbound,00000000-0000-0000-0000-00000000012c,high,standard,True
SYN-CONT-000183,00000000-0000-0000-0000-0000000003e9,20GP,21.4,inbound,00000000-0000-0000-0000-00000000012f,high,hazardous,True
SYN-CONT-000184,00000000-0000-0000-0000-0000000003e9,40RF,21.1,inbound,00000000-0000-0000-0000-000000000131,high,reefer,True
SYN-CONT-000185,00000000-0000-0000-0000-0000000003ea,20GP,28.5,inbound,00000000-0000-0000-0000-000000000130,normal,reefer,True
SYN-CONT-000186,00000000-0000-0000-0000-0000000003ea,40GP,21.6,inbound,00000000-0000-0000-0000-000000000130,normal,standard,True
SYN-CONT-000187,00000000-0000-0000-0000-0000000003ea,40GP,18.1,inbound,00000000-0000-0000-0000-00000000012e,normal,standard,True
SYN-CONT-000188,00000000-0000-0000-0000-0000000003ea,20GP,22.5,inbound,00000000-0000-0000-0000-00000000012c,normal,hazardous,True
SYN-CONT-000189,00000000-0000-0000-0000-0000000003ea,40GP,30.3,inbound,00000000-0000-0000-0000-000000000130,normal,reefer,True
SYN-CONT-000190,00000000-0000-0000-0000-0000000003ea,40GP,16.4,inbound,00000000-0000-0000-0000-00000000012e,normal,standard,True
SYN-CONT-000191,00000000-0000-0000-0000-0000000003ea,40RF,17.2,inbound,00000000-0000-0000-0000-00000000012e,normal,reefer,True
SYN-CONT-000192,00000000-0000-0000-0000-0000000003ea,20GP,9.5,inbound,00000000-0000-0000-0000-00000000012c,normal,standard,True
SYN-CONT-000193,00000000-0000-0000-0000-0000000003ea,40RF,14.4,inbound,00000000-0000-0000-0000-000000000131,normal,reefer,True
SYN-CONT-000194,00000000-0000-0000-0000-0000000003ea,40GP,9.8,inbound,00000000-0000-0000-0000-000000000131,normal,standard,True
SYN-CONT-000195,00000000-0000-0000-0000-0000000003ea,40GP,15.0,inbound,00000000-0000-0000-0000-000000000131,normal,standard,True
SYN-CONT-000196,00000000-0000-0000-0000-0000000003ea,40RF,10.9,inbound,00000000-0000-0000-0000-000000000131,normal,reefer,True
SYN-CONT-000197,00000000-0000-0000-0000-0000000003ea,20GP,20.6,inbound,00000000-0000-0000-0000-000000000131,normal,standard,True
SYN-CONT-000198,00000000-0000-0000-0000-0000000003ea,40HC,23.1,inbound,00000000-0000-0000-0000-000000000131,normal,standard,True
